,elevation,flight,iteration,band,accuracy
350,300.0,pre-sunset,4.0,RGB_IP,0.771
351,350.0,pre-sunset,4.0,RGB_IP,0.512
352,400.0,pre-sunset,4.0,RGB_IP,0.549
353,50.0,post-sunset,4.0,RGB_IP,0.576
354,100.0,post-sunset,4.0,RGB_IP,0.073
355,150.0,post-sunset,4.0,RGB_IP,0.588
356,200.0,post-sunset,4.0,RGB_IP,0.505
357,250.0,post-sunset,4.0,RGB_IP,0.332
358,300.0,post-sunset,4.0,RGB_IP,0.168
359,350.0,post-sunset,4.0,RGB_IP,0.17
360,400.0,post-sunset,4.0,RGB_IP,0.325
361,50.0,pre-sunrise,5.0,RGB_IP,0.0
362,100.0,pre-sunrise,5.0,RGB_IP,0.405
363,150.0,pre-sunrise,5.0,RGB_IP,0.128
364,200.0,pre-sunrise,5.0,RGB_IP,0.0
365,250.0,pre-sunrise,5.0,RGB_IP,0.0
366,300.0,pre-sunrise,5.0,RGB_IP,0.337
367,350.0,pre-sunrise,5.0,RGB_IP,0.146
368,400.0,pre-sunrise,5.0,RGB_IP,0.431
369,50.0,post-sunrise,5.0,RGB_IP,0.719
370,100.0,post-sunrise,5.0,RGB_IP,1.0
371,150.0,post-sunrise,5.0,RGB_IP,0.672
372,200.0,post-sunrise,5.0,RGB_IP,0.999
373,250.0,post-sunrise,5.0,RGB_IP,0.935
374,300.0,post-sunrise,5.0,RGB_IP,0.38
375,350.0,post-sunrise,5.0,RGB_IP,0.747
376,400.0,post-sunrise,5.0,RGB_IP,0.588
377,50.0,noon,5.0,RGB_IP,0.851
378,100.0,noon,5.0,RGB_IP,0.922
379,150.0,noon,5.0,RGB_IP,0.88
380,200.0,noon,5.0,RGB_IP,0.819
381,250.0,noon,5.0,RGB_IP,0.758
382,300.0,noon,5.0,RGB_IP,0.867
383,350.0,noon,5.0,RGB_IP,0.395
384,400.0,noon,5.0,RGB_IP,0.443
385,50.0,pre-sunset,5.0,RGB_IP,0.805
386,100.0,pre-sunset,5.0,RGB_IP,0.949
387,150.0,pre-sunset,5.0,RGB_IP,0.96
388,200.0,pre-sunset,5.0,RGB_IP,0.783
389,250.0,pre-sunset,5.0,RGB_IP,0.772
390,300.0,pre-sunset,5.0,RGB_IP,0.77
391,350.0,pre-sunset,5.0,RGB_IP,0.671
392,400.0,pre-sunset,5.0,RGB_IP,0.516
393,50.0,post-sunset,5.0,RGB_IP,0.552
394,100.0,post-sunset,5.0,RGB_IP,0.719
395,150.0,post-sunset,5.0,RGB_IP,0.443
396,200.0,post-sunset,5.0,RGB_IP,0.329
397,250.0,post-sunset,5.0,RGB_IP,0.426
398,300.0,post-sunset,5.0,RGB_IP,0.534
399,350.0,post-sunset,5.0,RGB_IP,0.17
400,400.0,post-sunset,5.0,RGB_IP,0.0
401,,,,RGB_IP,
402,50.0,pre-sunrise,1.0,LWIR_IP,1.0
403,100.0,pre-sunrise,1.0,LWIR_IP,1.0
404,150.0,pre-sunrise,1.0,LWIR_IP,1.0
405,200.0,pre-sunrise,1.0,LWIR_IP,0.576
406,250.0,pre-sunrise,1.0,LWIR_IP,0.0
407,300.0,pre-sunrise,1.0,LWIR_IP,0.0
408,350.0,pre-sunrise,1.0,LWIR_IP,0.0
409,400.0,pre-sunrise,1.0,LWIR_IP,0.0
410,50.0,post-sunrise,1.0,LWIR_IP,1.0
411,100.0,post-sunrise,1.0,LWIR_IP,0.755
412,150.0,post-sunrise,1.0,LWIR_IP,0.338
413,200.0,post-sunrise,1.0,LWIR_IP,0.0
414,250.0,post-sunrise,1.0,LWIR_IP,0.092
415,300.0,post-sunrise,1.0,LWIR_IP,0.109
416,350.0,post-sunrise,1.0,LWIR_IP,0.0
417,400.0,post-sunrise,1.0,LWIR_IP,0.0
418,50.0,noon,1.0,LWIR_IP,0.46
419,100.0,noon,1.0,LWIR_IP,0.805
420,150.0,noon,1.0,LWIR_IP,0.505
421,200.0,noon,1.0,LWIR_IP,0.994
422,250.0,noon,1.0,LWIR_IP,0.255
423,300.0,noon,1.0,LWIR_IP,0.11
424,350.0,noon,1.0,LWIR_IP,0.231
425,400.0,noon,1.0,LWIR_IP,0.066
426,50.0,pre-sunset,1.0,LWIR_IP,1.0
427,100.0,pre-sunset,1.0,LWIR_IP,0.88
428,150.0,pre-sunset,1.0,LWIR_IP,0.697
429,200.0,pre-sunset,1.0,LWIR_IP,0.576
430,250.0,pre-sunset,1.0,LWIR_IP,0.274
431,300.0,pre-sunset,1.0,LWIR_IP,0.291
432,350.0,pre-sunset,1.0,LWIR_IP,0.137
433,400.0,pre-sunset,1.0,LWIR_IP,0.099
434,50.0,post-sunset,1.0,LWIR_IP,1.0
435,100.0,post-sunset,1.0,LWIR_IP,1.0
436,150.0,post-sunset,1.0,LWIR_IP,1.0
437,200.0,post-sunset,1.0,LWIR_IP,0.614
438,250.0,post-sunset,1.0,LWIR_IP,0.501
439,300.0,post-sunset,1.0,LWIR_IP,0.201
440,350.0,post-sunset,1.0,LWIR_IP,0.242
441,400.0,post-sunset,1.0,LWIR_IP,0.13
442,50.0,pre-sunrise,2.0,LWIR_IP,0.505
443,100.0,pre-sunrise,2.0,LWIR_IP,0.605
444,150.0,pre-sunrise,2.0,LWIR_IP,1.0
445,200.0,pre-sunrise,2.0,LWIR_IP,0.0
446,250.0,pre-sunrise,2.0,LWIR_IP,0.0
447,300.0,pre-sunrise,2.0,LWIR_IP,0.148
448,350.0,pre-sunrise,2.0,LWIR_IP,0.0
449,400.0,pre-sunrise,2.0,LWIR_IP,0.0
450,50.0,post-sunrise,2.0,LWIR_IP,0.505
451,100.0,post-sunrise,2.0,LWIR_IP,0.0
452,150.0,post-sunrise,2.0,LWIR_IP,0.338
453,200.0,post-sunrise,2.0,LWIR_IP,0.434
454,250.0,post-sunrise,2.0,LWIR_IP,0.0
455,300.0,post-sunrise,2.0,LWIR_IP,0.0
456,350.0,post-sunrise,2.0,LWIR_IP,0.0
457,400.0,post-sunrise,2.0,LWIR_IP,0.0
458,50.0,noon,2.0,LWIR_IP,0.505
459,100.0,noon,2.0,LWIR_IP,0.67
460,150.0,noon,2.0,LWIR_IP,0.38
461,200.0,noon,2.0,LWIR_IP,0.596
462,250.0,noon,2.0,LWIR_IP,0.525
463,300.0,noon,2.0,LWIR_IP,0.227
464,350.0,noon,2.0,LWIR_IP,0.231
465,400.0,noon,2.0,LWIR_IP,0.1
466,50.0,pre-sunset,2.0,LWIR_IP,0.805
467,100.0,pre-sunset,2.0,LWIR_IP,0.754
468,150.0,pre-sunset,2.0,LWIR_IP,0.697
469,200.0,pre-sunset,2.0,LWIR_IP,0.691
470,250.0,pre-sunset,2.0,LWIR_IP,0.274
471,300.0,pre-sunset,2.0,LWIR_IP,0.199
